customer_sk,customer_id,first_name,last_name,email,residential_location,customer_segment
17129,CUST_17129,Thomas,Reed,thomas.reed@gmail.com,San Diego,In-Store Regular
17130,CUST_17130,Stephanie,Allison,stephanie.allison@outlook.com,Portland,High Value
17131,CUST_17131,Michael,Griffin,michael.griffin@outlook.com,Baltimore,Budget Shopper
17132,CUST_17132,Tammy,Carr,tammy.carr@yahoo.com,Fort Worth,Budget Shopper
17133,CUST_17133,Samantha,Schneider,samantha.schneider@outlook.com,Colorado Springs,Premium Shopper
17134,CUST_17134,Angel,Henderson,angel.henderson@outlook.com,Nashville,In-Store Regular
17135,CUST_17135,Melanie,Gilbert,melanie.gilbert@outlook.com,Miami,High Value
17136,CUST_17136,Brian,Moore,brian.moore@gmail.com,Milwaukee,In-Store Regular
17137,CUST_17137,Dylan,Rodriguez,dylan.rodriguez@yahoo.com,Boston,Budget Shopper
17138,CUST_17138,Mary,Smith,mary.smith@gmail.com,Oklahoma City,Budget Shopper
17139,CUST_17139,Jennifer,Reeves,jennifer.reeves@outlook.com,Tulsa,Loyal Customer
17140,CUST_17140,Sarah,Scott,sarah.scott@gmail.com,Chicago,First-time Buyer
17141,CUST_17141,Shane,Perry,shane.perry@gmail.com,Raleigh,In-Store Regular
17142,CUST_17142,Stephanie,Taylor,stephanie.taylor@outlook.com,Nashville,Online Shopper
17143,CUST_17143,Kathryn,Leblanc,kathryn.leblanc@gmail.com,Denver,Deal Seeker
17144,CUST_17144,Anthony,Arias,anthony.arias@gmail.com,Houston,Online Shopper
17145,CUST_17145,Shirley,Spencer,shirley.spencer@yahoo.com,Oklahoma City,High Value
17146,CUST_17146,Grace,Barnett,grace.barnett@outlook.com,Memphis,Occasional Shopper
17147,CUST_17147,Emily,Ramirez,emily.ramirez@gmail.com,Fort Worth,Premium Shopper
17148,CUST_17148,Anthony,Hernandez,anthony.hernandez@outlook.com,Fresno,Churn Risk
17149,CUST_17149,Laurie,Williams,laurie.williams@yahoo.com,Nashville,Premium Shopper
17150,CUST_17150,Carolyn,Lee,carolyn.lee@gmail.com,Colorado Springs,Premium Shopper
17151,CUST_17151,Matthew,Guzman,matthew.guzman@outlook.com,Los Angeles,Occasional Shopper
17152,CUST_17152,Stacey,Shelton,stacey.shelton@outlook.com,Albuquerque,First-time Buyer
17153,CUST_17153,Wendy,Sandoval,wendy.sandoval@gmail.com,Raleigh,Budget Shopper
17154,CUST_17154,Austin,Jacobson,austin.jacobson@outlook.com,Charlotte,Churn Risk
17155,CUST_17155,Mark,Taylor,mark.taylor@outlook.com,Portland,First-time Buyer
17156,CUST_17156,Theresa,Clark,theresa.clark@yahoo.com,Nashville,Loyal Customer
17157,CUST_17157,Jordan,Reynolds,jordan.reynolds@gmail.com,Kansas City,High Value
17158,CUST_17158,Todd,Smith,todd.smith@yahoo.com,Nashville,Occasional Shopper
17159,CUST_17159,Nicholas,Travis,nicholas.travis@outlook.com,Chicago,In-Store Regular
17160,CUST_17160,Zachary,Nash,zachary.nash@yahoo.com,Detroit,High Value
17161,CUST_17161,Ronald,Lopez,ronald.lopez@yahoo.com,Columbus,High Value
17162,CUST_17162,Paige,Mann,paige.mann@outlook.com,Seattle,Online Shopper
17163,CUST_17163,Richard,Weaver,richard.weaver@gmail.com,Oakland,Premium Shopper
17164,CUST_17164,Sherry,Hanna,sherry.hanna@gmail.com,Kansas City,High Value
17165,CUST_17165,Tabitha,Taylor,tabitha.taylor@yahoo.com,San Jose,High Value
17166,CUST_17166,Megan,Arellano,megan.arellano@yahoo.com,Portland,Online Shopper
17167,CUST_17167,Laura,Shields,laura.shields@outlook.com,Albuquerque,Churn Risk
17168,CUST_17168,Earl,Allen,earl.allen@outlook.com,Las Vegas,Occasional Shopper
17169,CUST_17169,Victoria,Ramirez,victoria.ramirez@outlook.com,Tampa,Loyal Customer
17170,CUST_17170,Jessica,Harvey,jessica.harvey@yahoo.com,Raleigh,First-time Buyer
17171,CUST_17171,Melissa,Green,melissa.green@outlook.com,Tulsa,In-Store Regular
17172,CUST_17172,Frank,Baker,frank.baker@yahoo.com,Los Angeles,Premium Shopper
17173,CUST_17173,Erica,Cortez,erica.cortez@yahoo.com,Miami,Churn Risk
17174,CUST_17174,Jerry,Gardner,jerry.gardner@gmail.com,Dallas,In-Store Regular
17175,CUST_17175,Linda,Hill,linda.hill@gmail.com,Jacksonville,Loyal Customer
17176,CUST_17176,Erica,Kelley,erica.kelley@gmail.com,New Orleans,Budget Shopper
17177,CUST_17177,William,Porter,william.porter@gmail.com,San Francisco,Deal Seeker
17178,CUST_17178,Ronald,Martin,ronald.martin@yahoo.com,Chicago,Online Shopper
17179,CUST_17179,Taylor,Anderson,taylor.anderson@outlook.com,Louisville,Online Shopper
17180,CUST_17180,Kathy,Andersen,kathy.andersen@yahoo.com,Tucson,Budget Shopper
17181,CUST_17181,Elizabeth,Day,elizabeth.day@yahoo.com,Albuquerque,First-time Buyer
17182,CUST_17182,Jennifer,Jimenez,jennifer.jimenez@outlook.com,Fort Worth,Premium Shopper
17183,CUST_17183,Kristi,Duncan,kristi.duncan@gmail.com,Philadelphia,Loyal Customer
17184,CUST_17184,Gregory,Wilson,gregory.wilson@gmail.com,Portland,Deal Seeker
17185,CUST_17185,Donna,Martinez,donna.martinez@yahoo.com,Detroit,Deal Seeker
17186,CUST_17186,Carmen,Hall,carmen.hall@outlook.com,Charlotte,Occasional Shopper
17187,CUST_17187,Brandi,Meyer,brandi.meyer@yahoo.com,Houston,Occasional Shopper
17188,CUST_17188,Aaron,Carr,aaron.carr@outlook.com,Albuquerque,Premium Shopper
17189,CUST_17189,Patricia,Williamson,patricia.williamson@gmail.com,Miami,High Value
17190,CUST_17190,James,Lee,james.lee@yahoo.com,Oklahoma City,First-time Buyer
17191,CUST_17191,Daniel,Baker,daniel.baker@yahoo.com,Memphis,Online Shopper
17192,CUST_17192,Nicholas,Schroeder,nicholas.schroeder@gmail.com,San Francisco,Premium Shopper
17193,CUST_17193,Donna,Lowe,donna.lowe@yahoo.com,Jacksonville,Online Shopper
17194,CUST_17194,Jessica,Reyes,jessica.reyes@gmail.com,Albuquerque,Budget Shopper
17195,CUST_17195,Valerie,Moss,valerie.moss@outlook.com,Long Beach,Churn Risk
17196,CUST_17196,Bruce,Wolfe,bruce.wolfe@outlook.com,Phoenix,Budget Shopper
17197,CUST_17197,Shannon,Gomez,shannon.gomez@gmail.com,Nashville,High Value
17198,CUST_17198,Madison,Mooney,madison.mooney@outlook.com,Albuquerque,Churn Risk
17199,CUST_17199,Jose,Aguilar,jose.aguilar@outlook.com,Tulsa,Churn Risk
17200,CUST_17200,John,Henderson,john.henderson@yahoo.com,Los Angeles,Loyal Customer
17201,CUST_17201,Linda,Hudson,linda.hudson@yahoo.com,Fort Worth,Occasional Shopper
17202,CUST_17202,Andrew,Cox,andrew.cox@outlook.com,Philadelphia,First-time Buyer
17203,CUST_17203,Bethany,Gonzalez,bethany.gonzalez@gmail.com,Fresno,Budget Shopper
17204,CUST_17204,Donna,George,donna.george@outlook.com,Albuquerque,Occasional Shopper
17205,CUST_17205,Cynthia,Vincent,cynthia.vincent@yahoo.com,Louisville,Churn Risk
17206,CUST_17206,Linda,Fischer,linda.fischer@gmail.com,San Diego,Budget Shopper
17207,CUST_17207,Bryan,Wilson,bryan.wilson@yahoo.com,Tampa,Budget Shopper
17208,CUST_17208,Jennifer,Conner,jennifer.conner@gmail.com,Portland,Online Shopper
17209,CUST_17209,Kayla,Shepard,kayla.shepard@outlook.com,New Orleans,In-Store Regular
17210,CUST_17210,Donald,Smith,donald.smith@outlook.com,Miami,In-Store Regular
17211,CUST_17211,Willie,Mccarthy,willie.mccarthy@yahoo.com,Raleigh,Loyal Customer
17212,CUST_17212,Gerald,Jacobs,gerald.jacobs@gmail.com,Seattle,Deal Seeker
17213,CUST_17213,Sharon,Johnson,sharon.johnson@gmail.com,Austin,Occasional Shopper
17214,CUST_17214,Regina,Bennett,regina.bennett@outlook.com,Dallas,Premium Shopper
17215,CUST_17215,Jeffery,Pitts,jeffery.pitts@yahoo.com,Oakland,Premium Shopper
17216,CUST_17216,Scott,Patterson,scott.patterson@yahoo.com,Milwaukee,Budget Shopper
17217,CUST_17217,Roberta,Combs,roberta.combs@yahoo.com,Columbus,Loyal Customer
17218,CUST_17218,Heather,Smith,heather.smith@yahoo.com,Nashville,In-Store Regular
17219,CUST_17219,Kylie,Ochoa,kylie.ochoa@outlook.com,Austin,Online Shopper
17220,CUST_17220,James,Collins,james.collins@outlook.com,Mesa,In-Store Regular
17221,CUST_17221,Jenny,Hall,jenny.hall@gmail.com,Raleigh,Occasional Shopper
17222,CUST_17222,Kenneth,Bradley,kenneth.bradley@outlook.com,Louisville,First-time Buyer
17223,CUST_17223,Megan,Ramirez,megan.ramirez@gmail.com,Arlington,First-time Buyer
17224,CUST_17224,James,Miller,james.miller@gmail.com,Portland,Deal Seeker
17225,CUST_17225,Melissa,Rodriguez,melissa.rodriguez@gmail.com,Nashville,Deal Seeker
17226,CUST_17226,Francisco,Dixon,francisco.dixon@outlook.com,Denver,Loyal Customer
17227,CUST_17227,Edward,Jones,edward.jones@outlook.com,Milwaukee,High Value
17228,CUST_17228,Barry,Thomas,barry.thomas@yahoo.com,Albuquerque,Deal Seeker
17229,CUST_17229,Christian,Johnson,christian.johnson@yahoo.com,Memphis,First-time Buyer
17230,CUST_17230,Jamie,Henry,jamie.henry@yahoo.com,Indianapolis,High Value
17231,CUST_17231,Jerry,Gordon,jerry.gordon@gmail.com,Omaha,Churn Risk
17232,CUST_17232,Robert,Mcbride,robert.mcbride@gmail.com,Virginia Beach,Deal Seeker
17233,CUST_17233,Ashley,Murray,ashley.murray@gmail.com,Columbus,Occasional Shopper
17234,CUST_17234,Garrett,Klein,garrett.klein@gmail.com,Oakland,High Value
17235,CUST_17235,Angela,Smith,angela.smith@outlook.com,Oklahoma City,First-time Buyer
17236,CUST_17236,Stephanie,Campbell,stephanie.campbell@yahoo.com,San Francisco,Budget Shopper
17237,CUST_17237,Sherri,Banks,sherri.banks@outlook.com,New Orleans,Occasional Shopper
17238,CUST_17238,Matthew,Watson,matthew.watson@gmail.com,Miami,First-time Buyer
17239,CUST_17239,Karen,Moore,karen.moore@outlook.com,Atlanta,High Value
17240,CUST_17240,Sarah,Ross,sarah.ross@yahoo.com,Indianapolis,Occasional Shopper
17241,CUST_17241,Carlos,Holloway,carlos.holloway@yahoo.com,Boston,Occasional Shopper
17242,CUST_17242,Joe,Brown,joe.brown@yahoo.com,Kansas City,First-time Buyer
17243,CUST_17243,Anthony,Nelson,anthony.nelson@outlook.com,Indianapolis,First-time Buyer
17244,CUST_17244,Garrett,Mcgee,garrett.mcgee@gmail.com,Albuquerque,First-time Buyer
17245,CUST_17245,Robert,Norris,robert.norris@yahoo.com,Detroit,Budget Shopper
17246,CUST_17246,Mary,Walker,mary.walker@gmail.com,Colorado Springs,First-time Buyer
17247,CUST_17247,Kimberly,Smith,kimberly.smith@yahoo.com,Tulsa,Budget Shopper
17248,CUST_17248,Carol,Barton,carol.barton@yahoo.com,Atlanta,Premium Shopper
17249,CUST_17249,Alex,Williams,alex.williams@gmail.com,Austin,High Value
17250,CUST_17250,Kathryn,Hill,kathryn.hill@yahoo.com,Atlanta,Occasional Shopper
17251,CUST_17251,Sarah,Lambert,sarah.lambert@yahoo.com,Los Angeles,Loyal Customer
17252,CUST_17252,Aimee,Wyatt,aimee.wyatt@yahoo.com,New York,Loyal Customer
17253,CUST_17253,John,Hernandez,john.hernandez@yahoo.com,Chicago,Loyal Customer
17254,CUST_17254,Victoria,Blair,victoria.blair@yahoo.com,Tucson,Churn Risk
17255,CUST_17255,Philip,Martinez,philip.martinez@outlook.com,Nashville,Churn Risk
17256,CUST_17256,Benjamin,Tucker,benjamin.tucker@outlook.com,Los Angeles,In-Store Regular
17257,CUST_17257,Gregory,Obrien,gregory.obrien@outlook.com,Jacksonville,Occasional Shopper
17258,CUST_17258,Michael,Miller,michael.miller@gmail.com,Baltimore,Budget Shopper
17259,CUST_17259,Christopher,Pitts,christopher.pitts@gmail.com,Nashville,In-Store Regular
17260,CUST_17260,Brandon,Miller,brandon.miller@gmail.com,Long Beach,In-Store Regular
17261,CUST_17261,Alison,Nunez,alison.nunez@gmail.com,Baltimore,Churn Risk
17262,CUST_17262,Joshua,Powers,joshua.powers@yahoo.com,Baltimore,In-Store Regular
17263,CUST_17263,Robert,James,robert.james@gmail.com,Baltimore,Occasional Shopper
17264,CUST_17264,Luis,Allen,luis.allen@outlook.com,Arlington,Deal Seeker
17265,CUST_17265,Allison,Davis,allison.davis@outlook.com,Long Beach,First-time Buyer
17266,CUST_17266,Justin,Matthews,justin.matthews@outlook.com,Fort Worth,In-Store Regular
17267,CUST_17267,Francisco,Mathews,francisco.mathews@gmail.com,New York,Budget Shopper
17268,CUST_17268,Scott,Shelton,scott.shelton@yahoo.com,Memphis,Loyal Customer
17269,CUST_17269,Philip,Williams,philip.williams@gmail.com,Chicago,Premium Shopper
17270,CUST_17270,Elizabeth,Mendoza,elizabeth.mendoza@gmail.com,Washington,First-time Buyer
17271,CUST_17271,Brian,Tucker,brian.tucker@gmail.com,Phoenix,Churn Risk
17272,CUST_17272,Christopher,Hughes,christopher.hughes@gmail.com,Tampa,Deal Seeker
17273,CUST_17273,Robyn,Decker,robyn.decker@outlook.com,Fresno,In-Store Regular
17274,CUST_17274,Virginia,Richards,virginia.richards@yahoo.com,El Paso,Occasional Shopper
17275,CUST_17275,Amy,Schmidt,amy.schmidt@outlook.com,Las Vegas,Budget Shopper
17276,CUST_17276,Jonathan,Ray,jonathan.ray@yahoo.com,Indianapolis,Premium Shopper
17277,CUST_17277,Francisco,Johnson,francisco.johnson@outlook.com,Raleigh,Budget Shopper
17278,CUST_17278,Erin,Watson,erin.watson@outlook.com,Nashville,In-Store Regular
17279,CUST_17279,Ashley,Kent,ashley.kent@yahoo.com,Nashville,Churn Risk
17280,CUST_17280,Martha,Silva,martha.silva@yahoo.com,Atlanta,Churn Risk
17281,CUST_17281,Brian,Delgado,brian.delgado@yahoo.com,Chicago,First-time Buyer
17282,CUST_17282,Angel,Brown,angel.brown@gmail.com,Fresno,High Value
17283,CUST_17283,Lisa,Vargas,lisa.vargas@gmail.com,Washington,Deal Seeker
17284,CUST_17284,Rodney,Barnes,rodney.barnes@yahoo.com,Mesa,Online Shopper
17285,CUST_17285,Jennifer,Ruiz,jennifer.ruiz@yahoo.com,Tampa,In-Store Regular
17286,CUST_17286,Jennifer,Johnson,jennifer.johnson@gmail.com,Jacksonville,First-time Buyer
17287,CUST_17287,Cynthia,Black,cynthia.black@yahoo.com,Jacksonville,Premium Shopper
17288,CUST_17288,Justin,Willis,justin.willis@outlook.com,Long Beach,First-time Buyer
17289,CUST_17289,Anthony,Manning,anthony.manning@yahoo.com,Portland,Churn Risk
17290,CUST_17290,John,Howard,john.howard@yahoo.com,San Francisco,First-time Buyer
17291,CUST_17291,Kimberly,Chaney,kimberly.chaney@gmail.com,Tucson,Churn Risk
17292,CUST_17292,Erin,Berg,erin.berg@gmail.com,San Diego,Budget Shopper
17293,CUST_17293,Jennifer,Turner,jennifer.turner@yahoo.com,Denver,Budget Shopper
17294,CUST_17294,Kim,Hamilton,kim.hamilton@gmail.com,Fort Worth,Churn Risk
17295,CUST_17295,Joy,Sparks,joy.sparks@yahoo.com,Charlotte,Online Shopper
17296,CUST_17296,Donna,Bauer,donna.bauer@gmail.com,Albuquerque,Churn Risk
17297,CUST_17297,Jennifer,Ballard,jennifer.ballard@yahoo.com,San Francisco,Loyal Customer
17298,CUST_17298,Paul,Bass,paul.bass@yahoo.com,Oakland,Churn Risk
17299,CUST_17299,Heather,Lindsey,heather.lindsey@outlook.com,El Paso,Budget Shopper
17300,CUST_17300,Amy,Alvarado,amy.alvarado@outlook.com,San Antonio,Occasional Shopper
17301,CUST_17301,Jacob,Davis,jacob.davis@gmail.com,Kansas City,Online Shopper
17302,CUST_17302,Kristopher,Schroeder,kristopher.schroeder@yahoo.com,Virginia Beach,First-time Buyer
17303,CUST_17303,Tony,Cooper,tony.cooper@yahoo.com,Atlanta,In-Store Regular
17304,CUST_17304,Michael,Dalton,michael.dalton@yahoo.com,Memphis,Deal Seeker
17305,CUST_17305,Gregory,Reyes,gregory.reyes@outlook.com,Miami,High Value
17306,CUST_17306,Justin,Hudson,justin.hudson@gmail.com,Fort Worth,High Value
17307,CUST_17307,Jennifer,Wong,jennifer.wong@yahoo.com,Seattle,First-time Buyer
17308,CUST_17308,Frank,Harris,frank.harris@yahoo.com,Oakland,Occasional Shopper
17309,CUST_17309,Christopher,Todd,christopher.todd@outlook.com,Miami,Churn Risk
17310,CUST_17310,Kathy,Myers,kathy.myers@yahoo.com,Tucson,Online Shopper
17311,CUST_17311,Billy,Clements,billy.clements@outlook.com,Sacramento,High Value
17312,CUST_17312,Katherine,Carlson,katherine.carlson@yahoo.com,Miami,Budget Shopper
17313,CUST_17313,Joanna,Jones,joanna.jones@yahoo.com,Denver,Loyal Customer
17314,CUST_17314,Harold,Rivers,harold.rivers@gmail.com,Memphis,In-Store Regular
17315,CUST_17315,David,White,david.white@yahoo.com,Nashville,Loyal Customer
17316,CUST_17316,Jessica,Young,jessica.young@gmail.com,Oakland,Premium Shopper
17317,CUST_17317,Kimberly,Downs,kimberly.downs@gmail.com,Seattle,First-time Buyer
17318,CUST_17318,Jeremy,Flowers,jeremy.flowers@outlook.com,Fort Worth,Online Shopper
17319,CUST_17319,Taylor,Dalton,taylor.dalton@gmail.com,Baltimore,Deal Seeker
17320,CUST_17320,Laura,Sandoval,laura.sandoval@outlook.com,Nashville,In-Store Regular
17321,CUST_17321,Ashley,Myers,ashley.myers@gmail.com,Memphis,Deal Seeker
17322,CUST_17322,Katrina,Solis,katrina.solis@yahoo.com,Los Angeles,In-Store Regular
17323,CUST_17323,Crystal,Hubbard,crystal.hubbard@yahoo.com,Kansas City,Premium Shopper
17324,CUST_17324,Thomas,Smith,thomas.smith@gmail.com,Milwaukee,Occasional Shopper
17325,CUST_17325,William,Collins,william.collins@outlook.com,Columbus,Online Shopper
17326,CUST_17326,Steven,Jones,steven.jones@gmail.com,Washington,Loyal Customer
17327,CUST_17327,Shannon,Lyons,shannon.lyons@outlook.com,Washington,Loyal Customer
17328,CUST_17328,Dennis,Higgins,dennis.higgins@outlook.com,Albuquerque,In-Store Regular
17329,CUST_17329,Yesenia,Fletcher,yesenia.fletcher@yahoo.com,Phoenix,Premium Shopper
17330,CUST_17330,Colleen,Stewart,colleen.stewart@yahoo.com,Miami,Occasional Shopper
17331,CUST_17331,Dawn,Hall,dawn.hall@gmail.com,Nashville,In-Store Regular
17332,CUST_17332,Ashley,Carr,ashley.carr@yahoo.com,Nashville,Online Shopper
17333,CUST_17333,Joshua,Stein,joshua.stein@outlook.com,Indianapolis,Online Shopper
17334,CUST_17334,Michael,Bowen,michael.bowen@yahoo.com,Long Beach,Premium Shopper
17335,CUST_17335,Steve,Lawrence,steve.lawrence@gmail.com,Milwaukee,High Value
17336,CUST_17336,Heather,Thompson,heather.thompson@yahoo.com,Colorado Springs,Online Shopper
17337,CUST_17337,Dawn,Hunt,dawn.hunt@gmail.com,Columbus,Deal Seeker
17338,CUST_17338,Robert,Yoder,robert.yoder@outlook.com,Indianapolis,Occasional Shopper
17339,CUST_17339,Victor,Nguyen,victor.nguyen@yahoo.com,Detroit,Occasional Shopper
17340,CUST_17340,David,Zhang,david.zhang@outlook.com,Louisville,Occasional Shopper
17341,CUST_17341,Charles,Castaneda,charles.castaneda@outlook.com,Colorado Springs,Deal Seeker
17342,CUST_17342,Kerry,Werner,kerry.werner@gmail.com,Fresno,Online Shopper
17343,CUST_17343,Robin,Perez,robin.perez@gmail.com,Kansas City,High Value
17344,CUST_17344,Samantha,Smith,samantha.smith@yahoo.com,Chicago,Loyal Customer
17345,CUST_17345,Tristan,Sanchez,tristan.sanchez@yahoo.com,Fresno,In-Store Regular
17346,CUST_17346,Rhonda,Martin,rhonda.martin@yahoo.com,Kansas City,Loyal Customer
17347,CUST_17347,Kendra,Washington,kendra.washington@gmail.com,San Jose,First-time Buyer
17348,CUST_17348,Grace,Howard,grace.howard@gmail.com,Jacksonville,Churn Risk
17349,CUST_17349,Edward,Rodriguez,edward.rodriguez@yahoo.com,Oklahoma City,Premium Shopper
17350,CUST_17350,Sarah,Sims,sarah.sims@outlook.com,Milwaukee,Deal Seeker
17351,CUST_17351,Michael,Walls,michael.walls@gmail.com,Chicago,Churn Risk
17352,CUST_17352,Alexis,Cox,alexis.cox@yahoo.com,Memphis,Loyal Customer
17353,CUST_17353,Tiffany,Wiggins,tiffany.wiggins@outlook.com,Tulsa,High Value
17354,CUST_17354,Sabrina,Jackson,sabrina.jackson@outlook.com,Fort Worth,Budget Shopper
17355,CUST_17355,Jordan,Silva,jordan.silva@gmail.com,Omaha,Loyal Customer
17356,CUST_17356,Kimberly,Barnes,kimberly.barnes@outlook.com,Baltimore,Occasional Shopper
17357,CUST_17357,Victoria,Hughes,victoria.hughes@yahoo.com,Virginia Beach,Budget Shopper
17358,CUST_17358,Ashley,Brown,ashley.brown@yahoo.com,Dallas,Occasional Shopper
17359,CUST_17359,Ashley,Gibson,ashley.gibson@yahoo.com,Nashville,Loyal Customer
17360,CUST_17360,Cheryl,Fitzpatrick,cheryl.fitzpatrick@yahoo.com,Baltimore,Deal Seeker
17361,CUST_17361,Jose,Keller,jose.keller@gmail.com,Dallas,Premium Shopper
17362,CUST_17362,Sandra,Sanchez,sandra.sanchez@gmail.com,Los Angeles,Churn Risk
17363,CUST_17363,Anita,Jimenez,anita.jimenez@outlook.com,Tampa,In-Store Regular
17364,CUST_17364,Andres,West,andres.west@outlook.com,Columbus,Premium Shopper
17365,CUST_17365,Lawrence,Zuniga,lawrence.zuniga@yahoo.com,Washington,Premium Shopper
17366,CUST_17366,Eric,Casey,eric.casey@gmail.com,Portland,Premium Shopper
17367,CUST_17367,Valerie,Collins,valerie.collins@gmail.com,Memphis,Deal Seeker
17368,CUST_17368,Ricky,Rodriguez,ricky.rodriguez@gmail.com,San Antonio,Loyal Customer
17369,CUST_17369,Miguel,Wilson,miguel.wilson@yahoo.com,Miami,Loyal Customer
17370,CUST_17370,James,Willis,james.willis@yahoo.com,Raleigh,Churn Risk
17371,CUST_17371,Heather,Robinson,heather.robinson@gmail.com,El Paso,In-Store Regular
17372,CUST_17372,Jonathan,Patterson,jonathan.patterson@gmail.com,Jacksonville,In-Store Regular
17373,CUST_17373,Nicole,Green,nicole.green@outlook.com,Milwaukee,Churn Risk
17374,CUST_17374,Benjamin,Crawford,benjamin.crawford@outlook.com,Tampa,In-Store Regular
17375,CUST_17375,Destiny,Terry,destiny.terry@yahoo.com,Mesa,Budget Shopper
17376,CUST_17376,Emily,Vance,emily.vance@yahoo.com,Columbus,Budget Shopper
17377,CUST_17377,Lauren,Wright,lauren.wright@yahoo.com,San Antonio,Budget Shopper
17378,CUST_17378,Rebecca,Howell,rebecca.howell@outlook.com,Houston,Budget Shopper
17379,CUST_17379,Norma,Delgado,norma.delgado@yahoo.com,Omaha,Loyal Customer
17380,CUST_17380,Jessica,Hicks,jessica.hicks@gmail.com,San Diego,Premium Shopper
17381,CUST_17381,Ryan,Martin,ryan.martin@gmail.com,Baltimore,In-Store Regular
17382,CUST_17382,Alan,Snyder,alan.snyder@yahoo.com,New Orleans,In-Store Regular
17383,CUST_17383,Jonathan,Harrington,jonathan.harrington@outlook.com,Charlotte,Online Shopper
17384,CUST_17384,Stephen,Brown,stephen.brown@yahoo.com,Washington,In-Store Regular
17385,CUST_17385,Jeremy,Williams,jeremy.williams@yahoo.com,Tucson,Budget Shopper
17386,CUST_17386,Linda,Herring,linda.herring@gmail.com,Oklahoma City,In-Store Regular
17387,CUST_17387,Lisa,Walker,lisa.walker@gmail.com,Milwaukee,Occasional Shopper
17388,CUST_17388,Amy,Taylor,amy.taylor@gmail.com,San Jose,Online Shopper
17389,CUST_17389,Debra,Jones,debra.jones@outlook.com,Indianapolis,First-time Buyer
17390,CUST_17390,Rebecca,Williams,rebecca.williams@yahoo.com,Seattle,Loyal Customer
17391,CUST_17391,Regina,Cook,regina.cook@yahoo.com,Dallas,First-time Buyer
17392,CUST_17392,Danielle,Zimmerman,danielle.zimmerman@yahoo.com,Fort Worth,High Value
17393,CUST_17393,Heather,Jensen,heather.jensen@gmail.com,Raleigh,Occasional Shopper
17394,CUST_17394,Gary,Torres,gary.torres@yahoo.com,San Antonio,First-time Buyer
17395,CUST_17395,Jesse,Ingram,jesse.ingram@outlook.com,Mesa,Loyal Customer
17396,CUST_17396,Bryan,Hines,bryan.hines@outlook.com,Kansas City,Churn Risk
17397,CUST_17397,Christopher,Schultz,christopher.schultz@yahoo.com,Albuquerque,Premium Shopper
17398,CUST_17398,Christina,Herrera,christina.herrera@gmail.com,Memphis,Loyal Customer
17399,CUST_17399,Benjamin,Bryan,benjamin.bryan@gmail.com,San Antonio,Churn Risk
17400,CUST_17400,Thomas,Contreras,thomas.contreras@outlook.com,Sacramento,In-Store Regular
17401,CUST_17401,Stephanie,Brown,stephanie.brown@outlook.com,Minneapolis,Loyal Customer
17402,CUST_17402,Robert,Graves,robert.graves@gmail.com,San Diego,Premium Shopper
17403,CUST_17403,Scott,Nelson,scott.nelson@yahoo.com,Seattle,Loyal Customer
17404,CUST_17404,Kelly,Jordan,kelly.jordan@yahoo.com,Raleigh,Deal Seeker
17405,CUST_17405,Robert,Cherry,robert.cherry@gmail.com,Albuquerque,In-Store Regular
17406,CUST_17406,Tiffany,Baker,tiffany.baker@yahoo.com,Fort Worth,Churn Risk
17407,CUST_17407,Erin,Rosales,erin.rosales@outlook.com,Louisville,Online Shopper
17408,CUST_17408,Samantha,Garcia,samantha.garcia@yahoo.com,Boston,Occasional Shopper
17409,CUST_17409,Patrick,Walker,patrick.walker@outlook.com,Albuquerque,Churn Risk
17410,CUST_17410,Andrea,Wise,andrea.wise@yahoo.com,Portland,Budget Shopper
17411,CUST_17411,Monica,Molina,monica.molina@yahoo.com,Nashville,In-Store Regular
17412,CUST_17412,Dana,Weeks,dana.weeks@yahoo.com,Phoenix,Churn Risk
17413,CUST_17413,Mitchell,Paul,mitchell.paul@gmail.com,Los Angeles,Deal Seeker
17414,CUST_17414,Courtney,Howe,courtney.howe@yahoo.com,Long Beach,First-time Buyer
17415,CUST_17415,Julie,Page,julie.page@yahoo.com,Columbus,High Value
17416,CUST_17416,Anthony,Anderson,anthony.anderson@yahoo.com,Los Angeles,Budget Shopper
17417,CUST_17417,Daniel,Wallace,daniel.wallace@yahoo.com,Memphis,Churn Risk
17418,CUST_17418,Miranda,Morales,miranda.morales@gmail.com,Chicago,Occasional Shopper
17419,CUST_17419,Crystal,Flowers,crystal.flowers@yahoo.com,Las Vegas,High Value
17420,CUST_17420,Jeremiah,Morgan,jeremiah.morgan@yahoo.com,Detroit,Budget Shopper
17421,CUST_17421,Bruce,Greene,bruce.greene@yahoo.com,Las Vegas,In-Store Regular
17422,CUST_17422,Joshua,Maynard,joshua.maynard@outlook.com,Minneapolis,First-time Buyer
17423,CUST_17423,Christopher,Pierce,christopher.pierce@yahoo.com,Long Beach,Loyal Customer
17424,CUST_17424,Christopher,Roy,christopher.roy@outlook.com,El Paso,Occasional Shopper
17425,CUST_17425,Danielle,Mccarty,danielle.mccarty@outlook.com,Jacksonville,Deal Seeker
17426,CUST_17426,Jennifer,Waller,jennifer.waller@yahoo.com,Colorado Springs,First-time Buyer
17427,CUST_17427,Kevin,Yu,kevin.yu@outlook.com,Indianapolis,Premium Shopper
17428,CUST_17428,Tamara,Hernandez,tamara.hernandez@outlook.com,Nashville,Churn Risk
